,title,hq,link
0,ABC Stores,Honolulu Hawaii,//en.m.wikipedia.org/wiki/ABC_Stores
1,Code Rebel,Kahului  Hawaii,//en.m.wikipedia.org/wiki/Code_Rebel
2,Blue Planet Software,Kahului  Hawaii,//en.m.wikipedia.org/wiki/Blue_Planet_Software
3,Aqua-Aston Hospitality,Honolulu  Hawaii United States,//en.m.wikipedia.org/wiki/Aqua-Aston_Hospitality
4,Central Pacific Bank,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Central_Pacific_Bank
5,Alexander & Baldwin,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Alexander_%26_Baldwin
6,Bank of Hawaii,Honolulu  Hawaii  U.S.,//en.m.wikipedia.org/wiki/Bank_of_Hawaii
7,American Savings Bank,Honolulu Hawaii,//en.m.wikipedia.org/wiki/American_Savings_Bank
8,First Hawaiian Bank,First Hawaiian Center Honolulu  Hawaii,//en.m.wikipedia.org/wiki/First_Hawaiian_Bank
9,Hawaiian Telcom,Honolulu  Hawaii U.S.,//en.m.wikipedia.org/wiki/Hawaiian_Telcom
10,Island Pacific Energy,Honolulu Hawaii U.S.,//en.m.wikipedia.org/wiki/Island_Pacific_Energy
11,Hawaiian Electric Industries,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Hawaiian_Electric_Industries
12,Hawaii National Bank,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Hawaii_National_Bank
13,Kamakura Corporation,Honolulu United States,//en.m.wikipedia.org/wiki/Kamakura_Corporation
14,Aloha Petroleum,Honolulu United States,//en.m.wikipedia.org/wiki/Aloha_Petroleum
15,Maui Land & Pineapple Company,Kapalua  Hawaii,//en.m.wikipedia.org/wiki/Maui_Land_%26_Pineapple_Company
16,"Matson, Inc.",Honolulu Hawaii U.S.,"//en.m.wikipedia.org/wiki/Matson,_Inc."
17,Foodland Hawaii,Honolulu,//en.m.wikipedia.org/wiki/Foodland_Hawaii
18,Kauaʻi Island Utility Cooperative,Līhuʻe Kauaʻi Hawaiʻi,//en.m.wikipedia.org/wiki/Kaua%CA%BBi_Island_Utility_Cooperative
19,Mountain Apple Company,Honolulu Hawaii United States,//en.m.wikipedia.org/wiki/Mountain_Apple_Company
20,Pacific LightNet,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Pacific_LightNet
21,Outrigger Hotels & Resorts,Hawaii,//en.m.wikipedia.org/wiki/Outrigger_Hotels_%26_Resorts
22,Mauna Loa Macadamia Nut Corporation,Hawaii,//en.m.wikipedia.org/wiki/Mauna_Loa_Macadamia_Nut_Corporation
23,Phase2 International,Honolulu  HI,//en.m.wikipedia.org/wiki/Phase2_International
24,Sullivan Family of Companies,Honolulu  HI,//en.m.wikipedia.org/wiki/Sullivan_Family_of_Companies
25,Accuride Corporation,Livonia  Michigan,//en.m.wikipedia.org/wiki/Accuride_Corporation
26,Times Supermarkets,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Times_Supermarkets
27,Shirokiya,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Shirokiya
28,1st Source,South Bend  Indiana,//en.m.wikipedia.org/wiki/1st_Source
29,Tori Richard,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Tori_Richard
30,Visionary Related Entertainment,Honolulu  Hawaii U.S.,//en.m.wikipedia.org/wiki/Visionary_Related_Entertainment
31,AES Indiana,Indianapolis Indiana,//en.m.wikipedia.org/wiki/AES_Indiana
32,Angi,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Angi
33,Allison Transmission,Indianapolis Indiana,//en.m.wikipedia.org/wiki/Allison_Transmission
34,Arni's Restaurant,Lafayette  Indiana,//en.m.wikipedia.org/wiki/Arni%27s_Restaurant
35,Applied Instruments,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Applied_Instruments
36,Elevance Health,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Elevance_Health
37,Atlas World Group,Evansville  Indiana,//en.m.wikipedia.org/wiki/Atlas_World_Group
38,AM General,South Bend  Indiana U.S.,//en.m.wikipedia.org/wiki/AM_General
39,Matthews Aurora Funeral Solutions,Aurora  Indiana,//en.m.wikipedia.org/wiki/Matthews_Aurora_Funeral_Solutions
40,Batesville Casket Company,Batesville  Indiana,//en.m.wikipedia.org/wiki/Batesville_Casket_Company
41,BrightPoint,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/BrightPoint
42,Calumet Specialty Products Partners,Indianapolis  Indiana,/w/index.php?title=Calumet_Specialty_Products_Partners&action=edit
43,Buehler Foods,Jasper  Indiana U.S.,//en.m.wikipedia.org/wiki/Buehler_Foods
44,Better World Books,Mishawaka,//en.m.wikipedia.org/wiki/Better_World_Books
45,Biomet,Warsaw IN,//en.m.wikipedia.org/wiki/Biomet
46,Berry Global,Evansville  Indiana,//en.m.wikipedia.org/wiki/Berry_Global
47,Chicago South Shore and South Bend Railroad,Michigan City  Indiana,//en.m.wikipedia.org/wiki/Chicago_South_Shore_and_South_Bend_Railroad
48,CNO Financial Group,Carmel  Indiana,//en.m.wikipedia.org/wiki/CNO_Financial_Group
49,Celadon Group,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Celadon_Group
50,DirectBuy,Merrillville  Indiana,//en.m.wikipedia.org/wiki/DirectBuy
51,DePuy Synthes,Raynham  MA,//en.m.wikipedia.org/wiki/DePuy_Synthes
52,Cummins,Cummins Corporate Office Building Columbus  Indiana U.S.,//en.m.wikipedia.org/wiki/Cummins
53,Copient Technologies,Cummins Corporate Office Building Columbus  Indiana U.S.,//en.m.wikipedia.org/wiki/Copient_Technologies
54,Century Pharmaceuticals,Vadodara Gujarat,//en.m.wikipedia.org/wiki/Century_Pharmaceuticals
55,Do It Best,Fort Wayne  Indiana,//en.m.wikipedia.org/wiki/Do_It_Best
56,Emmis Communications,Indianapolis  Indiana Clermont Orlando Daytona Beach  FL Hearst Television Los Angeles  CA The Meruelo Group,//en.m.wikipedia.org/wiki/Emmis_Communications
57,Elwood Staffing,Columbus  Indiana,//en.m.wikipedia.org/wiki/Elwood_Staffing
58,First Merchants Corporation,Muncie  Indiana,//en.m.wikipedia.org/wiki/First_Merchants_Corporation
59,First Internet Bancorp,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/First_Internet_Bancorp
60,"Finish Line, Inc.",Indianapolis Indiana U.S.,"//en.m.wikipedia.org/wiki/Finish_Line,_Inc."
61,Salesforce Marketing Cloud,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Salesforce_Marketing_Cloud
62,Eli Lilly and Company,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Eli_Lilly_and_Company
63,Golden Rule Insurance Company,Indianapolis,//en.m.wikipedia.org/wiki/Golden_Rule_Insurance_Company
64,H. H. Gregg,Franklin Township New Jersey,//en.m.wikipedia.org/wiki/H._H._Gregg
65,Gurney's Seed and Nursery Company,Greendale Indiana,//en.m.wikipedia.org/wiki/Gurney%27s_Seed_and_Nursery_Company
66,Herff Jones,Indianapolis Indiana,//en.m.wikipedia.org/wiki/Herff_Jones
67,Harlan (company),Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Harlan_(company)
68,Guidant,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Guidant
69,Haynes International,Kokomo  Indiana,//en.m.wikipedia.org/wiki/Haynes_International
70,The Ford Meter Box Company,Wabash  IN,//en.m.wikipedia.org/wiki/The_Ford_Meter_Box_Company
71,Hill-Rom,Chicago  Illinois,//en.m.wikipedia.org/wiki/Hill-Rom
72,ITT Technical Institute,Chicago  Illinois,//en.m.wikipedia.org/wiki/ITT_Technical_Institute
73,JayC Food Stores,Petersburg  Indiana,//en.m.wikipedia.org/wiki/JayC_Food_Stores
74,Hulman & Company,Terre Haute  Indiana,//en.m.wikipedia.org/wiki/Hulman_%26_Company
75,Indiana Bell,Indianapolis Indiana,//en.m.wikipedia.org/wiki/Indiana_Bell
76,Kimball International,Jasper  Indiana,//en.m.wikipedia.org/wiki/Kimball_International
77,Jayco,Middlebury Indiana,//en.m.wikipedia.org/wiki/Jayco
78,Kroger,Cincinnati  Ohio U.S.,//en.m.wikipedia.org/wiki/Kroger
79,Midcontinent Independent System Operator,Carmel  Indiana,//en.m.wikipedia.org/wiki/Midcontinent_Independent_System_Operator
80,Klipsch Audio Technologies,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Klipsch_Audio_Technologies
81,Marsh Supermarkets,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Marsh_Supermarkets
82,MCL Cafeterias,Indianapolis Indiana,//en.m.wikipedia.org/wiki/MCL_Cafeterias
83,NiSource,Merrillville  Indiana,//en.m.wikipedia.org/wiki/NiSource
84,North American Van Lines,Fort Wayne  Indiana,//en.m.wikipedia.org/wiki/North_American_Van_Lines
85,Noble Roman's,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Noble_Roman%27s
86,"Monarch Beverage, Inc.",Indianapolis  Indiana U.S.,"//en.m.wikipedia.org/wiki/Monarch_Beverage,_Inc."
87,Old National Bank,Chicago Illinois Evansville  Indiana U.S.,//en.m.wikipedia.org/wiki/Old_National_Bank
88,Republic Airways Holdings,Indianapolis Midwest Airlines Embraer 175 American Eagle,//en.m.wikipedia.org/wiki/Republic_Airways_Holdings
89,American Red Ball,Indianapolis Midwest Airlines Embraer 175 American Eagle,//en.m.wikipedia.org/wiki/American_Red_Ball
90,Pay Less Super Markets,Indianapolis Midwest Airlines Embraer 175 American Eagle,//en.m.wikipedia.org/wiki/Pay_Less_Super_Markets
91,Owen's Market,Indianapolis Midwest Airlines Embraer 175 American Eagle,//en.m.wikipedia.org/wiki/Owen%27s_Market
92,Pearson Education,London England,//en.m.wikipedia.org/wiki/Pearson_Education
93,Paige's Music,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Paige%27s_Music
94,Chautauqua Airlines,Indianapolis  Indiana  USA,//en.m.wikipedia.org/wiki/Chautauqua_Airlines
95,Shindigz,Fort Wayne Indiana,//en.m.wikipedia.org/wiki/Shindigz
96,Simon Property Group,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Simon_Property_Group
97,Scott's Food & Pharmacy,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Scott%27s_Food_%26_Pharmacy
98,Schurz Communications,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Schurz_Communications
99,Shoe Carnival,Evansville  Indiana,//en.m.wikipedia.org/wiki/Shoe_Carnival
100,Shuttle America,Indianapolis  Indiana  USA,//en.m.wikipedia.org/wiki/Shuttle_America
101,Republic Airlines,Minneapolis-St. Paul Int’l Airport Fort Snelling  Minnesota,//en.m.wikipedia.org/wiki/Republic_Airlines
102,AmericanConnection,Chicago O'Hare International Airport,//en.m.wikipedia.org/wiki/AmericanConnection
103,Steak 'n Shake,Indianapolis Indiana,//en.m.wikipedia.org/wiki/Steak_%27n_Shake
104,Upland Brewing Company,Bloomington  Indiana United States,//en.m.wikipedia.org/wiki/Upland_Brewing_Company
105,Vectren,Evansville  Indiana,//en.m.wikipedia.org/wiki/Vectren
106,Three Floyds Brewing,Munster  Indiana,//en.m.wikipedia.org/wiki/Three_Floyds_Brewing
107,Vera Bradley,Fort Wayne  Indiana,//en.m.wikipedia.org/wiki/Vera_Bradley
108,Steel Dynamics,Fort Wayne  Indiana,//en.m.wikipedia.org/wiki/Steel_Dynamics
109,Thor Industries,Elkhart  Indiana United States,//en.m.wikipedia.org/wiki/Thor_Industries
110,Sweetwater Sound,Fort Wayne Indiana,//en.m.wikipedia.org/wiki/Sweetwater_Sound
111,Wabash National,Lafayette  Indiana United States,//en.m.wikipedia.org/wiki/Wabash_National
112,Agriprocessors,Postville  Iowa,//en.m.wikipedia.org/wiki/Agriprocessors
113,Zimmer Biomet,Warsaw Indiana,//en.m.wikipedia.org/wiki/Zimmer_Biomet
114,Weaver Popcorn Company,Warsaw Indiana,//en.m.wikipedia.org/wiki/Weaver_Popcorn_Company
115,Wheaton World Wide Moving,Indianapolis  IN,//en.m.wikipedia.org/wiki/Wheaton_World_Wide_Moving
116,Fareway,Boone  Iowa U.S.,//en.m.wikipedia.org/wiki/Fareway
117,Casey's,Ankeny  Iowa,//en.m.wikipedia.org/wiki/Casey%27s
118,Dubuque Bank and Trust,Dubuque  Iowa,//en.m.wikipedia.org/wiki/Dubuque_Bank_and_Trust
119,Hartig Drug,Dubuque  Iowa,//en.m.wikipedia.org/wiki/Hartig_Drug
120,Lee Enterprises,Davenport  Iowa Illinois Bloomington,//en.m.wikipedia.org/wiki/Lee_Enterprises
121,Happy Joe's,Bettendorf  Iowa,//en.m.wikipedia.org/wiki/Happy_Joe%27s
122,Hy-Vee,West Des Moines  Iowa,//en.m.wikipedia.org/wiki/Hy-Vee
123,HNI Corporation,Muscatine  Iowa,//en.m.wikipedia.org/wiki/HNI_Corporation
124,iWireless,Urbandale  Iowa,//en.m.wikipedia.org/wiki/IWireless
125,Kum & Go,Des Moines Iowa,//en.m.wikipedia.org/wiki/Kum_%26_Go
126,Norby's Farm Fleet,Dubuque  Iowa USA,//en.m.wikipedia.org/wiki/Norby%27s_Farm_Fleet
127,Meredith Corporation,Des Moines  Iowa Orlando Daytona Beach  FL O&O Bridgeport  MI WJMK,//en.m.wikipedia.org/wiki/Meredith_Corporation
128,Musco Lighting,Oskaloosa  Iowa,//en.m.wikipedia.org/wiki/Musco_Lighting
129,Pancheros Mexican Grill,Coralville Iowa,//en.m.wikipedia.org/wiki/Pancheros_Mexican_Grill
130,Maid-Rite,Urbandale  Iowa,//en.m.wikipedia.org/wiki/Maid-Rite
131,MidAmerican Energy Company,Des Moines  Iowa U.S.,//en.m.wikipedia.org/wiki/MidAmerican_Energy_Company
132,McLeodUSA,Cedar Rapids IA,//en.m.wikipedia.org/wiki/McLeodUSA
133,Montgomery Ward, ,//en.m.wikipedia.org/wiki/Montgomery_Ward
134,Pioneer Hi Bred International,Johnston  Iowa,//en.m.wikipedia.org/wiki/Pioneer_Hi_Bred_International
135,Principal Financial Group,Des Moines  Iowa,//en.m.wikipedia.org/wiki/Principal_Financial_Group
136,Right Stuf,Grimes  Iowa,//en.m.wikipedia.org/wiki/Right_Stuf
137,Rockwell Collins,Cedar Rapids  Iowa,//en.m.wikipedia.org/wiki/Rockwell_Collins
138,Vermeer Company,Pella  Iowa,//en.m.wikipedia.org/wiki/Vermeer_Company
139,Houghton Mifflin Harcourt Learning Technology,Boston Dublin,//en.m.wikipedia.org/wiki/Houghton_Mifflin_Harcourt_Learning_Technology
140,Pizza Ranch,Orange City  Iowa,//en.m.wikipedia.org/wiki/Pizza_Ranch
141,Radio Dubuque,Orange City  Iowa,//en.m.wikipedia.org/wiki/Radio_Dubuque
142,Von Maur,Davenport  Iowa U.S.,//en.m.wikipedia.org/wiki/Von_Maur
143,Copeland's,Davenport  Iowa U.S.,//en.m.wikipedia.org/wiki/Copeland%27s
144,Lumen Technologies,Monroe  Louisiana Montana,//en.m.wikipedia.org/wiki/Lumen_Technologies
145,Entergy,Entergy Tower New Orleans Louisiana,//en.m.wikipedia.org/wiki/Entergy
146,Freeport-McMoRan,Phoenix  Arizona,//en.m.wikipedia.org/wiki/Freeport-McMoRan
147,APS Payroll,Shreveport  Louisiana,//en.m.wikipedia.org/wiki/APS_Payroll
148,Winnebago Industries,Eden Prairie  Minnesota,//en.m.wikipedia.org/wiki/Winnebago_Industries
149,West Liberty Foods,West Liberty  Iowa,//en.m.wikipedia.org/wiki/West_Liberty_Foods
150,Hibernia National Bank,New Orleans  Louisiana,//en.m.wikipedia.org/wiki/Hibernia_National_Bank
151,Hornbeck Offshore Services,New Orleans  Louisiana,//en.m.wikipedia.org/wiki/Hornbeck_Offshore_Services
152,David Oreck,New Orleans  Louisiana,//en.m.wikipedia.org/wiki/David_Oreck#Oreck_Corporation
153,Raising Cane's Chicken Fingers,Baton Rouge  Louisiana,//en.m.wikipedia.org/wiki/Raising_Cane%27s_Chicken_Fingers
154,The Shaw Group,Houston  TX,//en.m.wikipedia.org/wiki/The_Shaw_Group
155,Lamar Advertising Company,Baton Rouge  Louisiana,//en.m.wikipedia.org/wiki/Lamar_Advertising_Company
156,Tabasco sauce,Baton Rouge  Louisiana,//en.m.wikipedia.org/wiki/Tabasco_sauce
157,Smoothie King,Coppell  Texas,//en.m.wikipedia.org/wiki/Smoothie_King
158,BlueHippo Funding,Coppell  Texas,//en.m.wikipedia.org/wiki/BlueHippo_Funding
159,Choice Hotels,Rockville  Maryland,//en.m.wikipedia.org/wiki/Choice_Hotels
160,Balducci's,Germantown  Maryland,//en.m.wikipedia.org/wiki/Balducci%27s
161,BP Solar,Madrid Spain,//en.m.wikipedia.org/wiki/BP_Solar
162,Constellation Energy,Baltimore  Maryland,//en.m.wikipedia.org/wiki/Constellation_Energy
163,Taylor Energy,New Orleans  Louisiana,//en.m.wikipedia.org/wiki/Taylor_Energy
164,Aggregate Industries,Bardon Hill  Coalville UK,//en.m.wikipedia.org/wiki/Aggregate_Industries
165,Black+Decker,Towson Maryland,//en.m.wikipedia.org/wiki/Black%2BDecker
166,Coventry Health Care,North Bethesda  Maryland Bethesda,//en.m.wikipedia.org/wiki/Coventry_Health_Care
167,GEICO,Chevy Chase  Maryland United States,//en.m.wikipedia.org/wiki/GEICO
168,Goodwill Industries,Derwood  Maryland Rockville United States,//en.m.wikipedia.org/wiki/Goodwill_Industries
169,"Discovery, Inc.",Hasbro Discovery Science,"//en.m.wikipedia.org/wiki/Discovery,_Inc."
170,Giant Food (Landover),Landover  Maryland,//en.m.wikipedia.org/wiki/Giant_Food_(Landover)
171,GlobalStem,Gaithersburg Maryland U.S.,//en.m.wikipedia.org/wiki/GlobalStem
172,Host Hotels & Resorts,Bethesda  Maryland United States,//en.m.wikipedia.org/wiki/Host_Hotels_%26_Resorts
173,Ledo Pizza,Annapolis  Maryland,//en.m.wikipedia.org/wiki/Ledo_Pizza
174,Legg Mason,Baltimore,//en.m.wikipedia.org/wiki/Legg_Mason
175,Jos. A. Bank,Fremont  California,//en.m.wikipedia.org/wiki/Jos._A._Bank
176,Jerry's Subs & Pizza,Gaithersburg Maryland,//en.m.wikipedia.org/wiki/Jerry%27s_Subs_%26_Pizza
177,Mars (supermarket),Rosedale  Maryland,//en.m.wikipedia.org/wiki/Mars_(supermarket)
178,McCormick & Company,Hunt Valley  Maryland,//en.m.wikipedia.org/wiki/McCormick_%26_Company
179,MedImmune,Gaithersburg Maryland U.S.,//en.m.wikipedia.org/wiki/MedImmune
180,Lockheed Martin,Bethesda  Maryland,//en.m.wikipedia.org/wiki/Lockheed_Martin
181,Magruder's,Washington  D.C. U.S.,//en.m.wikipedia.org/wiki/Magruder%27s
182,Marriott International,Bethesda  Maryland,//en.m.wikipedia.org/wiki/Marriott_International
183,Perdue Farms,Salisbury  Maryland,//en.m.wikipedia.org/wiki/Perdue_Farms
184,PRS Guitars,Stevensville  Maryland United States,//en.m.wikipedia.org/wiki/PRS_Guitars
185,Roy Rogers Restaurants,4991 New Design RoadSuite 109 Frederick  MD 21703,//en.m.wikipedia.org/wiki/Roy_Rogers_Restaurants
186,Piedmont Airlines,Bombardier Q200,//en.m.wikipedia.org/wiki/Piedmont_Airlines
187,SuperValu (United States),Eden Prairie  Minnesota U.S.,//en.m.wikipedia.org/wiki/SuperValu_(United_States)
188,Shoppers Food & Pharmacy,Bowie Maryland,//en.m.wikipedia.org/wiki/Shoppers_Food_%26_Pharmacy
189,Rent-a-Wreck,Bowie Maryland,//en.m.wikipedia.org/wiki/Rent-a-Wreck
190,Mistral Group,Bowie Maryland,/w/index.php?title=Mistral_Group&action=edit
191,Stuckey's,Eastman  Georgia,//en.m.wikipedia.org/wiki/Stuckey%27s
192,STX (sports manufacturer),Baltimore Maryland United States,//en.m.wikipedia.org/wiki/STX_(sports_manufacturer)
193,Telenor,Fornebu Norway Bangladesh Grameenphone Czech Republic,//en.m.wikipedia.org/wiki/Telenor
194,SuperFresh,Staten Island  NY U.S.,//en.m.wikipedia.org/wiki/SuperFresh
195,Sylvan Learning,Baltimore Maryland,//en.m.wikipedia.org/wiki/Sylvan_Learning
196,T. Rowe Price,100 East Pratt Street Baltimore  Maryland,//en.m.wikipedia.org/wiki/T._Rowe_Price
197,Transamerica Corporation,Baltimore Maryland,//en.m.wikipedia.org/wiki/Transamerica_Corporation
198,Trophogen,Rockville  Maryland,//en.m.wikipedia.org/wiki/Trophogen
199,Centrus Energy,Bethesda  Maryland United States,//en.m.wikipedia.org/wiki/Centrus_Energy
200,Under Armour,Baltimore  Maryland,//en.m.wikipedia.org/wiki/Under_Armour
201,W. R. Grace and Company,Columbia  Maryland,//en.m.wikipedia.org/wiki/W._R._Grace_and_Company
202,Urban One,Silver Spring  Maryland Urban gospel Interactive One,//en.m.wikipedia.org/wiki/Urban_One
203,Westat,Rockville  Maryland United States,//en.m.wikipedia.org/wiki/Westat
204,ZeniMax Media,Rockville  Maryland,//en.m.wikipedia.org/wiki/ZeniMax_Media
205,Xometry,Derwood  Maryland,//en.m.wikipedia.org/wiki/Xometry
206,Anheuser-Busch,St. Louis,//en.m.wikipedia.org/wiki/Anheuser-Busch
207,"Aquila, Inc.",Kansas City  Missouri United States,"//en.m.wikipedia.org/wiki/Aquila,_Inc."
208,Arch Resources,St. Louis Missouri,//en.m.wikipedia.org/wiki/Arch_Resources
209,Adam's Mark,St. Louis Missouri,//en.m.wikipedia.org/wiki/Adam%27s_Mark
210,A. G. Edwards,St. Louis  Missouri,//en.m.wikipedia.org/wiki/A._G._Edwards
211,Andy's Frozen Custard,Springfield  Missouri,//en.m.wikipedia.org/wiki/Andy%27s_Frozen_Custard
212,Ameren,St. Louis  Missouri,//en.m.wikipedia.org/wiki/Ameren
213,AMC Theatres,Leawood  Kansas,//en.m.wikipedia.org/wiki/AMC_Theatres
214,Bass Pro Shops,Springfield  Missouri,//en.m.wikipedia.org/wiki/Bass_Pro_Shops
215,Baron Aviation Services,Vichy Missouri,//en.m.wikipedia.org/wiki/Baron_Aviation_Services
216,"Boeing Defense, Space & Security",Arlington County  Virginia,"//en.m.wikipedia.org/wiki/Boeing_Defense,_Space_%26_Security"
217,Caleres,Clayton  Missouri,//en.m.wikipedia.org/wiki/Caleres
218,SeaWorld Parks & Entertainment,Orlando  Florida San Diego California SeaWorld San Diego Sesame Place Franklin and Friends,//en.m.wikipedia.org/wiki/SeaWorld_Parks_%26_Entertainment
219,Centene Corporation,St. Louis  Missouri,//en.m.wikipedia.org/wiki/Centene_Corporation
220,B&B Theatres,Liberty  Missouri,//en.m.wikipedia.org/wiki/B%26B_Theatres
221,Famous Footwear,St. Louis Missouri,//en.m.wikipedia.org/wiki/Famous_Footwear
222,Cerner,Kansas City  Missouri,//en.m.wikipedia.org/wiki/Cerner
223,Drury Hotels,Creve Coeur  Missouri,//en.m.wikipedia.org/wiki/Drury_Hotels
224,Charter Communications,Stamford  Connecticut,//en.m.wikipedia.org/wiki/Charter_Communications
225,Dierbergs Markets,Chesterfield  Missouri,//en.m.wikipedia.org/wiki/Dierbergs_Markets
226,Container Corporation of America,Chesterfield  Missouri,//en.m.wikipedia.org/wiki/Container_Corporation_of_America
227,Commerce Bancshares,Kansas City  Missouri,//en.m.wikipedia.org/wiki/Commerce_Bancshares
228,Columbia Insurance Group,Columbia  Missouri USA,//en.m.wikipedia.org/wiki/Columbia_Insurance_Group
229,Edward Jones Investments,St Louis  Missouri,//en.m.wikipedia.org/wiki/Edward_Jones_Investments
230,Enterprise Rent-A-Car,Clayton  Missouri,//en.m.wikipedia.org/wiki/Enterprise_Rent-A-Car
231,Graybar,Clayton  Missouri U.S.,//en.m.wikipedia.org/wiki/Graybar
232,Emerson Electric,Ferguson  Missouri,//en.m.wikipedia.org/wiki/Emerson_Electric
233,GoJet Airlines,Bridgeton  Missouri Chicago Illinois O'Hare International Airport,//en.m.wikipedia.org/wiki/GoJet_Airlines
234,Express Scripts,St. Louis County  Missouri  U.S. 2008 21 941 776 5 509 32.77 ,//en.m.wikipedia.org/wiki/Express_Scripts
235,Farmland Industries,Kansas City  Missouri,//en.m.wikipedia.org/wiki/Farmland_Industries
236,Ferrellgas,Liberty Missouri,//en.m.wikipedia.org/wiki/Ferrellgas
237,Energizer,Town and Country  Missouri,//en.m.wikipedia.org/wiki/Energizer
238,Great Plains Energy,Kansas City  Missouri,//en.m.wikipedia.org/wiki/Great_Plains_Energy
239,Hardee's,Franklin  Tennessee,//en.m.wikipedia.org/wiki/Hardee%27s
240,Helzberg Diamonds,North Kansas City Missouri,//en.m.wikipedia.org/wiki/Helzberg_Diamonds
241,Interstate Bakeries,Irving  Texas,//en.m.wikipedia.org/wiki/Interstate_Bakeries
242,Populous (company), ,//en.m.wikipedia.org/wiki/Populous_(company)
243,Hallmark Cards,Kansas City  Missouri,//en.m.wikipedia.org/wiki/Hallmark_Cards
244,International Hat Company,St. Louis United States,//en.m.wikipedia.org/wiki/International_Hat_Company
245,H&R Block,Kansas City  Missouri  U.S.,//en.m.wikipedia.org/wiki/H%26R_Block
246,Lifetouch,Eden Prairie  Minnesota United States,//en.m.wikipedia.org/wiki/Lifetouch
247,Leggett & Platt,Carthage  Missouri,//en.m.wikipedia.org/wiki/Leggett_%26_Platt
248,Missouri Employers Mutual,Columbia  Missouri USA,//en.m.wikipedia.org/wiki/Missouri_Employers_Mutual
249,MFA Oil,Columbia  Missouri United States,//en.m.wikipedia.org/wiki/MFA_Oil
250,McCabe-Powers Body Company,Columbia  Missouri United States,//en.m.wikipedia.org/wiki/McCabe-Powers_Body_Company
251,Metropark Communications,St. Louis  Missouri,//en.m.wikipedia.org/wiki/Metropark_Communications
252,Kansas City Southern (company),Kansas City  Missouri,//en.m.wikipedia.org/wiki/Kansas_City_Southern_(company)
253,Kansas City Life Insurance Company,Kansas City  Missouri US,//en.m.wikipedia.org/wiki/Kansas_City_Life_Insurance_Company
254,Panera Bread,Sunset Hills  Missouri,//en.m.wikipedia.org/wiki/Panera_Bread
255,O'Reilly Auto Parts,Springfield  Missouri,//en.m.wikipedia.org/wiki/O%27Reilly_Auto_Parts
256,Olin Corporation,Clayton  Missouri,//en.m.wikipedia.org/wiki/Olin_Corporation
257,Smithfield Hog Production Division,Princeton  Missouri,//en.m.wikipedia.org/wiki/Smithfield_Hog_Production_Division
258,Monsanto,Creve Coeur  Missouri,//en.m.wikipedia.org/wiki/Monsanto
259,Peabody Energy,St. Louis Missouri,//en.m.wikipedia.org/wiki/Peabody_Energy
260,Rawlings (company),Town and Country  Missouri USA,//en.m.wikipedia.org/wiki/Rawlings_(company)
261,Ralston Purina,St. Louis Missouri USA,//en.m.wikipedia.org/wiki/Ralston_Purina
262,Suddenlink Communications,St. Louis  Missouri United States,//en.m.wikipedia.org/wiki/Suddenlink_Communications
263,Schnucks,St. Louis Missouri U.S.,//en.m.wikipedia.org/wiki/Schnucks
264,Shop 'n Save,Kirkwood  Missouri U.S.,//en.m.wikipedia.org/wiki/Shop_%27n_Save
265,Sigma-Aldrich,Burlington  Massachusetts United States,//en.m.wikipedia.org/wiki/Sigma-Aldrich
266,Solutia,Town and Country Missouri,//en.m.wikipedia.org/wiki/Solutia
267,Russell Stover Candies,Kansas City  Missouri,//en.m.wikipedia.org/wiki/Russell_Stover_Candies
268,Shelter Insurance,Columbia  Missouri USA,//en.m.wikipedia.org/wiki/Shelter_Insurance
269,Save-A-Lot,St. Ann  Missouri,//en.m.wikipedia.org/wiki/Save-A-Lot
270,Trans States Airlines,Fayetteville Arkansas Northwest Arkansas Regional Airport,//en.m.wikipedia.org/wiki/Trans_States_Airlines
271,Wehrenberg Theatres,Fayetteville Arkansas Northwest Arkansas Regional Airport,//en.m.wikipedia.org/wiki/Wehrenberg_Theatres
272,United Van Lines,Fenton  Missouri,//en.m.wikipedia.org/wiki/United_Van_Lines
