,titles,authors,regular_prices,release_dates
85,How to Talk to Anyone,Leil Lowndes,$14.74 ,9/1/2015
86,He Who Fights with Monsters 10,"Shirtaloon, Travis Deverell",$59.99 ,11/28/2023
87,All My Knotted-Up Life,Beth Moore,$15.19 ,2/21/2023
88,Things We Hide from the Light,Lucy Score,$21.70 ,2/21/2023
89,A Court of Frost and Starlight,Sarah J. Maas,$18.26 ,5/1/2018
90,The Return of the Gods,Jonathan Cahn,$17.65 ,9/6/2022
91,The Power of Now,Eckhart Tolle,$18.24 ,12/31/2000
92,The Alchemist,Paulo Coelho,$17.24 ,12/26/2004
93,Atlas of the Heart,Brené Brown,$23.90 ,2/14/2022
94,Dune,Frank Herbert,$34.90 ,12/31/2006
95,The Myth of Normal,"Gabor Maté MD, Daniel Maté",$35.00 ,9/13/2022
96,Attached,"Amir Levine, Rachel Heller",$14.74 ,11/5/2019
97,Mark of the Fool 3,J.M. Clarke,$29.95 ,4/12/2023
98,A Flicker in the Dark,Stacy Willingham,$15.22 ,1/11/2022
99,Dare to Lead,Brené Brown,$18.49 ,10/9/2018
